OBJECTID,RNFL_DATE,WMRS_DAM_DLY_RNF_MM,WMRS_DAM_NMBR_DLY_RNF_MM,STNB_DAM_DLY_RNF_MM,STNB_DAM_NMBR_DLY_RNF_MM,VLVL_DAM_DLY_RNF_MM,VLVL_DAM_NMBR_DLY_RNF_MM,THWT_KLF_DAM_DLY_RNF_MM,THWT_KLF_DAM_NMBR_DLY_RNF_MM,WDHD_DAM_DLY_RNF_MM,WDHD_DAM_NMBR_DLY_RNF_MM,DE_VLRS_HS_DAM_DLY_RNF_MM,DE_VLRS_HS_DAM_NMBR_DLY_RNF_MM,NWLN_DAM_DLY_RNF_MM,NWLN_DAM_NMBR_DLY_RNF_MM,WYNB_DAM_DLY_RNF_MM,WYNB_DAM_NMBR_DLY_RNF_MM,CNST_NEK_DAM_DLY_RNF_MM,CNST_NEK_DAM_NMBR_DLY_RNF_MM,PLTK_DAM_DLY_RNF_MM,PLTK_DAM_NMBR_DLY_RNF_MM,BLCK_UPR_WTP_DAM_DLY_RNF_MM,BLCK_UPR_WTP_DAM_NMB_DLY_RNF_MM,BLCK_LWR_DAM_DLY_RNF_MM,BLCK_LWR_DAM_NMBR_DLY_RNF_MM,GLEN_GRY_DAM_DLY_RNF_MM,GLEN_GRY_DAM_NMBR_DLY_RNF_MM,TYGR_DAM_DLY_RNF_MM,TYGR_DAM_NMBR_DLY_RNF_MM,FR_DAM_DLY_RNF_MM,FR_DAM_NMBR_DLY_RNF_MM,BRKL_DAM_DLY_RNF_MM,BRKL_DAM_NMBR_DLY_RNF_MM,ATLN_WSFL_DAM_DLY_RNF_MM,ATLN_WSFL_DAM_NMBR_DLY_RNF_MM,MLTN_DAM_DLY_RNF_MM,MLTN_DAM_NMBR_DLY_RNF_MM,KLF_NEK_DAM_DLY_RNF_MM,KLF_NEK_DAM_NMBR_DLY_RNF_MM,BRGR_DAM_DLY_RNF_MM,BRGR_DAM_NMB_DLY_RNF_MM,NWLN_DAM_DLY_EVP_MM,NWLN_DAM_NMBR_DLY_EVP_MM,STNB_DAM_DLY_EVP_MM,STNB_DAM_NMBR_DLY_EVP_MM,WMRS_DAM_DLY_EVP_MM,WMRS_DAM_NMBR_DLY_EVP_MM,BRKL_DAM_DLY_EVP_MM,BRKL_DAM_NMBR_DLY_EVP_MM,WDHD_DAM_DLY_EVP_MM,WDHD_DAM_NMBR_DLY_EVP_MM,MLTN_DAM_DLY_EVP_MM,MLTN_DAM_NMBR_DLY_EVP_MM,STNB_2_DAM_DLY_RNF_MM,STNB_2_DAM_NMBR_DLY_RNF_MM,STNB_3_DAM_DLY_RNF_MM,STNB_3_DAM_NMBR_DLY_RNF_MM,STNB_CTCH_4_DLY_RNF_MM,STNB_CTCH_4_NMBR_DLY_RNF_MM,WMRS_2_STH_DAM_DLY_RNF_MM,WMRS_2_STH_DAM_NMBR_DLY_RNF_MM,WMRS_3_NRTH_DAM_DLY_RNF_MM,WMRS_3_NRTH_DAM_NMBR_DLY_RNF_MM,WMRS_4_NEW_STH_DAM_DLY_RNF_MM,WMRS_4_NEW_STH_DAM_NMBR_DLY_RNF,WMRS_5_NEW_NRTH_DAM_DLY_RNF_MM,WMRS_5_NEW_NRTH_DAM_NMBR_DLY_RN,HS_DAM,TNL_DAM,MLS_DAM,WVL_DAM,SPRN_DAM,KTCH_DAM,WKPJ_DAM,CNEK_DISA_DAM,DAM_DAY,DAM_MNTH,DAM_YEAR,WMRS_HOEK_1_DAM_DLY_RNF,STNB_1_DAM_DLY_RNF,VLVL_DAM_DLY_RNF,THWT_DAM_DLY_RNF,WDHD_DAM_DLY_RNF,DE_VLRS_DAM_DLY_RNF,NWLN_DAM_DLY_RNF,WYNB_DAM_DLY_RNF,CNST_DAM_DLY_RNF,PLTK_DAM_DLY_RNF,BLCK_UPR_DAM_DLY_RNF,BLCK_LWR_DAM_DLY_RNF,GLNG_DAM_DLY_RNF,TYGR_DAM_DLY_RNF,FR_DAM_DLY_RNF,BRKL_DAM_DLY_RNF,ATLN_DAM_DLY_RNF,MLTN_DAM_DLY_RNF,KLFN_DAM_DLY_RNF,BRGR_DAM_DLY_RNF
5558,2015/03/20 00:00:00+00,3.4,,1.3,,0,,1,,1.4,,,,0.5,,1.8,,2.5,,0,,1.8,,1.3,,0,,1.4,,0,,1,,,,0,,0,,,,3.5,,3.8,,0,,4,,3,,6,,1,,1.5,,0,,3.4,,5.9,,,,,,,,,,,,,,20,3,2015,,,,,,,,,,,,,,,,,,,,
5559,2015/03/21 00:00:00+00,0.6,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,2,,4,,0,,5,,2.4,,5,,0,,0,,0,,0.6,,4.6,,,,,,,,,,,,,,21,3,2015,,,,,,,,,,,,,,,,,,,,
5560,2015/03/22 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,3,,5.5,,0,,6,,3,,3,,0,,0,,0.2,,0,,5.5,,,,,,,,,,,,,,22,3,2015,,,,,,,,,,,,,,,,,,,,
5561,2015/03/23 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,4,,4.5,,0,,5,,3,,5,,0,,0,,0,,0,,4.5,,,,,,,,,,,,,,23,3,2015,,,,,,,,,,,,,,,,,,,,
5562,2015/03/24 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,3,,5,,0,,7,,3.5,,6,,0,,0,,0,,0,,3.5,,,,,,,,,,,,,,24,3,2015,,,,,,,,,,,,,,,,,,,,
5563,2015/03/25 00:00:00+00,0,,0.1,,0,,1.6,,0,,,,0,,0,,0,,0,,0.6,,0.5,,0,,0,,0,,1.5,,,,0,,0,,,,2,,3.6,,0,,2,,1.5,,2,,0.4,,0.6,,1.5,,0,,4.5,,,,,,,,,,,,,,25,3,2015,,,,,,,,,,,,,,,,,,,,
5564,2015/03/26 00:00:00+00,0,,0,,1,,4.5,,1.3,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,3,,4,,0,,3,,3,,3,,0,,0,,3,,0,,4.5,,,,,,,,,,,,,,26,3,2015,,,,,,,,,,,,,,,,,,,,
5565,2015/03/27 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,4,,6.5,,0,,7,,3.8,,10,,0,,0,,0,,0,,5.5,,,,,,,,,,,,,,27,3,2015,,,,,,,,,,,,,,,,,,,,
5566,2015/03/28 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,4,,5,,0,,4,,7,,1,,0,,0,,0,,0,,5.5,,,,,,,,,,,,,,28,3,2015,,,,,,,,,,,,,,,,,,,,
5567,2015/03/29 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,4,,6.5,,0,,6,,5,,6,,0,,0,,0,,0,,5.5,,,,,,,,,,,,,,29,3,2015,,,,,,,,,,,,,,,,,,,,
5568,2015/03/30 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,2,,4,,0,,5,,6,,1,,0,,0,,0,,0,,4,,,,,,,,,,,,,,30,3,2015,,,,,,,,,,,,,,,,,,,,
5569,2015/03/31 00:00:00+00,0,4,0,2.5,0,1,0,12.6,0,30.7,,,0,3,0,2.8,0,6,0,0,0,2.4,0,2.3,0,0,0,1.4,0,0,0,3.5,,,0,2.7,0,2.4,,0,6,114,4,164,0,0,4,159,3,121.2,5,162.8,0,2.1,0,2.7,0,12.1,0,4,6,174.5,,0,,0,,,,,,,,,31,3,2015,2,4,1,4,4,,2,2,3,0,2,3,0,1,0,3,,3,3,
5570,2015/04/01 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,3,,4,,0,,3.5,,5,,3,,0,,0,,0,,0,,4.5,,,,,,,,,,,,,,1,4,2015,,,,,,,,,,,,,,,,,,,,
5571,2015/04/02 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,4,,6,,0,,1.5,,2,,3,,0,,0,,0,,0,,4.5,,,,,,,,,,,,,,2,4,2015,,,,,,,,,,,,,,,,,,,,
5572,2015/04/03 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,,,0,,0,,,,3,,5,,0,,6,,3,,4,,0,,0,,0,,0,,7,,,,,,,,,,,,,,3,4,2015,,,,,,,,,,,,,,,,,,,,
5573,2015/04/04 00:00:00+00,0,,1.2,,0,,0,,2.5,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,,,0,,0,,,,2,,2.2,,0,,2,,4,,11,,0.9,,3.4,,0,,0,,6,,,,,,,,,,,,,,4,4,2015,,,,,,,,,,,,,,,,,,,,
5574,2015/04/05 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,2,,4.5,,0,,5,,0,,5,,0,,0,,0,,0,,5,,,,,,,,,,,,,,5,4,2015,,,,,,,,,,,,,,,,,,,,
5575,2015/04/06 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,3,,5,,0,,4,,3,,4,,0,,0,,3.8,,0,,3.5,,,,,,,,,,,,,,6,4,2015,,,,,,,,,,,,,,,,,,,,
5576,2015/04/07 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,3,,5.5,,0,,7,,3,,8,,0,,0,,0,,0,,5,,,,,,,,,,,,,,7,4,2015,,,,,,,,,,,,,,,,,,,,
5577,2015/04/08 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,3,,6,,0,,4,,5,,4,,0,,0,,0,,0,,4,,,,,,,,,,,,,,8,4,2015,,,,,,,,,,,,,,,,,,,,
5578,2015/04/09 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,3,,4,,0,,3,,4,,4,,0,,0,,0,,0,,4,,,,,,,,,,,,,,9,4,2015,,,,,,,,,,,,,,,,,,,,
5579,2015/04/10 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0.1,,0,,,,3,,4,,0,,3,,5,,4,,0,,0,,0,,0,,5,,,,,,,,,,,,,,10,4,2015,,,,,,,,,,,,,,,,,,,,
5580,2015/04/11 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,3,,3,,0,,3,,5,,3,,0,,0,,0,,0,,5.5,,,,,,,,,,,,,,11,4,2015,,,,,,,,,,,,,,,,,,,,
5581,2015/04/12 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,2,,4,,0,,4,,5,,3,,0,,0,,0,,0,,4.5,,,,,,,,,,,,,,12,4,2015,,,,,,,,,,,,,,,,,,,,
5582,2015/04/13 00:00:00+00,0,,1.8,,0,,0,,0.5,,,,0,,2,,0,,0,,0,,0,,0,,0,,0.8,,0,,,,0,,0,,,,2,,3.8,,0,,2.5,,5,,4,,0.5,,1.9,,1.7,,0,,4.5,,,,,,,,,,,,,,13,4,2015,,,,,,,,,,,,,,,,,,,,
5583,2015/04/14 00:00:00+00,0,,1,,0,,1.3,,5,,,,0.2,,2,,3,,0,,9,,2.2,,0,,0,,1,,3,,,,0.6,,0.1,,,,1.2,,0,,0,,9.5,,3,,5.3,,2.8,,4.4,,3.9,,0,,4.5,,,,,,,,,,,,,,14,4,2015,,,,,,,,,,,,,,,,,,,,
5584,2015/04/15 00:00:00+00,2.5,,1,,0,,3,,3,,,,3.5,,3,,0.2,,0,,1.6,,0.2,,0,,0.5,,0,,2,,,,2.6,,2.6,,,,0.5,,0,,0,,2,,2,,2.3,,0.8,,1.5,,4.1,,2.5,,2,,2.1,,1.4,,,,,,,,,,15,4,2015,,,,,,,,,,,,,,,,,,,,
5585,2015/04/16 00:00:00+00,0,,0,,0,,9.4,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,3,,1.5,,0,,3.5,,1.5,,2,,0,,0,,1.1,,0,,4.5,,,,,,,,,,,,,,16,4,2015,,,,,,,,,,,,,,,,,,,,
5586,2015/04/17 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,2,,4.5,,0,,4,,3,,4,,0,,0,,0,,0,,4,,,,,,,,,,,,,,17,4,2015,,,,,,,,,,,,,,,,,,,,
5587,2015/04/18 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,2,,3.5,,0,,4,,3,,5,,0,,0,,0,,0,,3.5,,,,,,,,,,,,,,18,4,2015,,,,,,,,,,,,,,,,,,,,
5588,2015/04/19 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,2,,2.5,,0,,3,,3,,2,,0,,0,,0,,0,,3.5,,,,,,,,,,,,,,19,4,2015,,,,,,,,,,,,,,,,,,,,
5589,2015/04/20 00:00:00+00,0,,0,,0,,0.3,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,3,,9,,0,,4,,3,,4,,0,,0,,0,,0,,4.5,,,,,,,,,,,,,,20,4,2015,,,,,,,,,,,,,,,,,,,,
5590,2015/04/21 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,2,,3.5,,0,,4,,3,,6,,0,,0,,0,,0,,3,,,,,,,,,,,,,,21,4,2015,,,,,,,,,,,,,,,,,,,,
5591,2015/04/22 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,2,,3,,0,,2,,2,,4,,0,,0,,0,,0,,4,,,,,,,,,,,,,,22,4,2015,,,,,,,,,,,,,,,,,,,,
5592,2015/04/23 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,2,,4.5,,0,,4,,1,,4,,0,,0,,0,,0,,3,,,,,,,,,,,,,,23,4,2015,,,,,,,,,,,,,,,,,,,,
5593,2015/04/24 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,2,,2.5,,0,,4,,3.5,,2,,0,,0,,0,,0,,3,,,,,,,,,,,,,,24,4,2015,,,,,,,,,,,,,,,,,,,,
5594,2015/04/25 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,2,,3,,0,,1,,3,,2,,0,,0,,0,,0,,3.5,,,,,,,,,,,,,,25,4,2015,,,,,,,,,,,,,,,,,,,,
5595,2015/04/26 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,2,,2,,0,,3,,1,,3,,0,,0,,0,,0,,2.5,,,,,,,,,,,,,,26,4,2015,,,,,,,,,,,,,,,,,,,,
5596,2015/04/27 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,2,,3.5,,0,,7,,1.5,,2,,0,,0,,0,,0,,3,,,,,,,,,,,,,,27,4,2015,,,,,,,,,,,,,,,,,,,,
5597,2015/04/28 00:00:00+00,0.5,,4.9,,0,,0,,12.5,,,,4,,0,,6,,0,,1.7,,1,,1.8,,3,,4,,5,,,,14,,12,,,,0,,1.4,,0,,0,,3,,0,,6.2,,9.8,,10,,0.5,,3,,0.5,,0.7,,,,,,,,,,28,4,2015,,,,,,,,,,,,,,,,,,,,
5598,2015/04/29 00:00:00+00,0.4,,11.2,,2,,0,,5.9,,,,2,,5.5,,2,,1.4,,2.8,,2.5,,0.2,,2,,2,,10,,,,1.5,,1.5,,3.5,,0,,0.2,,0,,0,,0.5,,0,,14.7,,17.5,,12.8,,0.4,,2.4,,0.4,,0.4,,,,,,,,,,29,4,2015,,,,,,,,,,,,,,,,,,,,
5599,2015/04/30 00:00:00+00,0,3.4,0.4,21.5,0,2,0,14,0.6,30,,,1,10.7,0,12.5,0,11.2,0,1.4,0.3,15.4,0.2,6.1,0,2,0,5.5,0,7.8,1.5,23.5,,,2,20.8,1.8,18,2.5,6,0,63.7,0,101.6,0,0,1,104.5,2.4,88.4,0,107.6,1.8,27.7,2,40.5,1.4,38.8,0,3.4,2,118.9,,3,,2.5,,,,,,,,,30,4,2015,3,7,1,4,7,,5,4,4,1,5,5,2,3,4,7,,6,5,
5600,2015/05/01 00:00:00+00,0,,0,,0,,0,,0.6,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.5,,,,0.2,,0.2,,,,1,,1.5,,0,,0,,1.1,,1,,,,0.4,,,,0,,2,,,,,,,,,,,,,,1,5,2015,,,,,,,,,,,,,,,,,,,,
5601,2015/05/02 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.5,,,,0,,0,,,,1,,0.5,,0,,1,,0.6,,0,,0.3,,0.1,,0.2,,0,,2.5,,,,,,,,,,,,,,2,5,2015,,,,,,,,,,,,,,,,,,,,
5602,2015/05/03 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.5,,,,0,,0,,,,0,,0.5,,0,,1,,0.5,,1,,,,,,,,0,,2.5,,,,,,,,,,,,,,3,5,2015,,,,,,,,,,,,,,,,,,,,
5603,2015/05/04 00:00:00+00,0,,0.4,,0,,0,,3,,,,0,,0,,0.4,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,1,,1.9,,0,,5,,2,,2,,0.8,,0.4,,7.2,,0,,2,,,,,,,,,,,,,,4,5,2015,,,,,,,,,,,,,,,,,,,,
5604,2015/05/05 00:00:00+00,3.3,,3.8,,0.6,,1,,3,,,,0,,1,,3.5,,2.3,,4.1,,3,,3,,5.8,,0,,4.5,,,,1.5,,3,,1.2,,1,,0,,0,,0,,0,,0,,3.8,,3.8,,,,3.3,,0,,2.8,,2.5,,,,,,,,,,5,5,2015,,,,,,,,,,,,,,,,,,,,
5605,2015/05/06 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,2,,3.5,,0,,2,,1,,6,,,,,,,,0,,3,,,,,,,,,,,,,,6,5,2015,,,,,,,,,,,,,,,,,,,,
5606,2015/05/07 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,2,,3.5,,0,,6,,2,,1,,,,,,,,0,,2.5,,,,,,,,,,,,,,7,5,2015,,,,,,,,,,,,,,,,,,,,
5607,2015/05/08 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,1,,2.5,,0,,4,,2.5,,1,,,,,,,,0,,2,,,,,,,,,,,,,,8,5,2015,,,,,,,,,,,,,,,,,,,,
5608,2015/05/09 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,1,,1.5,,0,,2,,1.5,,4,,,,,,,,0,,2.5,,,,,,,,,,,,,,9,5,2015,,,,,,,,,,,,,,,,,,,,
5609,2015/05/10 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,2,,3,,0,,2,,1,,2,,,,,,,,0,,2.5,,,,,,,,,,,,,,10,5,2015,,,,,,,,,,,,,,,,,,,,
5610,2015/05/11 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,1,,3.5,,0,,4.5,,2,,3,,,,,,,,0,,2.5,,,,,,,,,,,,,,11,5,2015,,,,,,,,,,,,,,,,,,,,
5611,2015/05/12 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,2,,2,,0,,2.5,,2,,3,,,,,,11,,0,,3,,,,,,,,,,,,,,12,5,2015,,,,,,,,,,,,,,,,,,,,
5612,2015/05/13 00:00:00+00,5.5,,7.3,,10,,4.6,,12.5,,,,8,,3.5,,0.5,,9,,6.9,,7.5,,8,,12,,10.5,,8,,,,5.5,,5,,3.04,,0,,0,,0,,0,,2,,0.5,,11.7,,10,,,,5.5,,1.5,,5.1,,5.7,,,,,,,,,,13,5,2015,,,,,,,,,,,,,,,,,,,,
5613,2015/05/14 00:00:00+00,0,,0,,2,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0.5,,0,,0,,,,0,,0,,,,2,,1.5,,0,,2.5,,1,,3,,,,,,,,0,,2,,,,,,,,,,,,,,14,5,2015,,,,,,,,,,,,,,,,,,,,
5614,2015/05/15 00:00:00+00,5,,4.9,,0,,0,,19.8,,,,15,,3,,9,,3.8,,1.8,,1,,4,,11,,3,,0,,,,10.5,,5.5,,,,0,,0.9,,0,,0,,1.5,,0,,10,,7.6,,,,5,,1.5,,4.2,,5.1,,,,,,,,,,15,5,2015,,,,,,,,,,,,,,,,,,,,
5615,2015/05/16 00:00:00+00,0,,0.6,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,0.5,,2.2,,0,,0,,0,,2,,1.4,,1.3,,12.7,,0,,2,,,,,,,,,,,,,,16,5,2015,,,,,,,,,,,,,,,,,,,,
5616,2015/05/17 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,1,,1.5,,0,,0,,1,,1,,,,,,0.2,,0,,2,,,,,,,,,,,,,,17,5,2015,,,,,,,,,,,,,,,,,,,,
5617,2015/05/18 00:00:00+00,0,,0,,0,,0,,2,,,,0,,0,,0,,0.8,,1.3,,1.5,,0.2,,1,,1,,0,,,,0,,0,,,,1.5,,2,,0,,1.5,,2.5,,1,,,,,,,,0,,4,,,,,,,,,,,,,,18,5,2015,,,,,,,,,,,,,,,,,,,,
5618,2015/05/19 00:00:00+00,0,,0,,0,,0,,0,,,,2.3,,0,,0.5,,0.7,,0,,0,,0,,0,,0,,1,,,,2,,1.8,,,,0,,1,,0,,0,,1,,1,,,,,,,,0,,2,,,,,,,,,,,,,,19,5,2015,,,,,,,,,,,,,,,,,,,,
5619,2015/05/20 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,,,0,,0,,,,1,,1,,0,,1,,1,,0.5,,,,,,,,0,,1.5,,,,,,,,,,,,,,20,5,2015,,,,,,,,,,,,,,,,,,,,
5620,2015/05/21 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,1,,2,,0,,2.5,,2,,0.5,,,,,,,,0,,2,,,,,,,,,,,,,,21,5,2015,,,,,,,,,,,,,,,,,,,,
5621,2015/05/22 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,,,,0,,0,,,,2,,2.5,,0,,5.5,,1,,0.5,,,,,,,,0,,2,,,,,,,,,,,,,,22,5,2015,,,,,,,,,,,,,,,,,,,,
5622,2015/05/23 00:00:00+00,0,,0.3,,0,,0,,2,,,,2,,1,,4,,0.3,,0.6,,0,,0,,0,,0,,1,,,,1,,0.8,,,,0,,0.8,,0,,1,,2,,0,,0.9,,0.1,,,,0,,1.5,,,,,,,,,,,,,,23,5,2015,,,,,,,,,,,,,,,,,,,,
5623,2015/05/24 00:00:00+00,0,,0,,0,,0,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,1,,0.5,,0,,3,,0,,2,,,,,,,,0,,3,,,,,,,,,,,,,,24,5,2015,,,,,,,,,,,,,,,,,,,,
5624,2015/05/25 00:00:00+00,1.4,,1,,0,,0,,7,,,,13.5,,6,,10,,1.1,,3,,1,,5,,3,,0.5,,4,,,,2.5,,2.5,,,,0,,1,,0,,0,,1,,0,,4,,0.3,,2.8,,1.4,,2.4,,0.8,,1.2,,,,,,,,,,25,5,2015,,,,,,,,,,,,,,,,,,,,
5625,2015/05/26 00:00:00+00,4.9,,5.7,,0,,0,,19.5,,,,31.5,,8.5,,19,,4,,2,,1.8,,4.5,,6,,2,,6,,,,17,,8.5,,27.18,,0,,0,,0,,0,,0,,0,,6.4,,,,,,4.9,,0.4,,4.5,,5.9,,,,,,,,,,26,5,2015,,,,,,,,,,,,,,,,,,,,
5626,2015/05/27 00:00:00+00,0.5,,0,,0,,0,,4,,,,0,,0.3,,0,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,,,0,,1,,0,,1,,0,,1,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,27,5,2015,,,,,,,,,,,,,,,,,,,,
5627,2015/05/28 00:00:00+00,0,,0,,0,,0,,4,,,,2,,1,,0.5,,0,,0,,0,,0,,0,,0,,0.3,,,,0.4,,0,,0.762,,0,,0.5,,0,,1,,2,,1,,,,15.6,,,,0,,1.5,,,,,,,,,,,,,,28,5,2015,,,,,,,,,,,,,,,,,,,,
5628,2015/05/29 00:00:00+00,26.5,,14.5,,16,,0.8,,30,,,,37,,16,,30,,4.1,,0.9,,0.9,,8.5,,8.3,,4.5,,15,,,,13.5,,16.5,,43.18,,0,,0,,0,,0,,0,,0,,20.3,,8.7,,,,26.5,,0.5,,21,,33.2,,,,,,,,,,29,5,2015,,,,,,,,,,,,,,,,,,,,
5629,2015/05/30 00:00:00+00,3.6,,6.6,,0.1,,3,,13,,,,15.2,,7.2,,11,,3.7,,4.6,,6,,7,,6.6,,5,,13,,,,5,,5,,18.29,,0,,0.41,,0,,0,,0,,0,,19.3,,0.5,,26.8,,3.6,,1.6,,2.5,,4,,,,,,,,,,30,5,2015,,,,,,,,,,,,,,,,,,,,
5630,2015/05/31 00:00:00+00,0.9,51.6,0.5,45.6,0,28.7,3.1,12.5,3,123.4,,,0.3,126.8,1.2,48.7,2,90.4,2.5,32.3,1,26.2,3,25.7,0,40.2,0,54.2,0,26.5,0,58.3,,,0.6,59.7,1.7,50.5,5.842,99.494,0,25,1,43.71,0,0,5,54,0,34.2,3,41,0.5,79.4,0.5,49.3,,,0.9,51.6,3.4,62.3,1.2,42.1,0.7,58.3,,,,,,,,,31,5,2015,9,11,5,5,14,,10,11,12,11,10,9,8,9,7,14,,12,11,
5631,2015/06/01 00:00:00+00,0.8,,2,,0,,16.8,,12,,,,0,,0,,0,,2.5,,0,,0,,0,,0,,0,,3.5,,,,0,,0,,8.64,,1,,0,,0,,2,,1,,4,,7.2,,1,,3.5,,0.8,,0,,1,,0.8,,,,,,,,,,1,6,2015,,,,,,,,,,,,,,,,,,,,
